group,qid,status,reason,var_count,doc_codes,var_codes,missing_in_doc,extra_in_doc,width,start_code,end_code,option_count,unavailable_count,no_response_all,mutex_code,loop_count,no_response_1,no_response_2,no_response_3,no_response_4,no_response_5,excerpt
vK1,K1,match,,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,88,90,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,88,90",,,2,1,88,15,3,"90,97,98",90,14,90,97,98,,,"K1‧請問您最近一個月有使用下列哪些網路平台或APP,私下(一對一)與人通話、視訊、或傳訊息?(可多選)(卡7) □ (01) LINE □ (02) FB Messenger(臉書聊天室) □ (03) Instagram(IG) □ (04) 微信WeChat □ (05) WhatsApp □ (06) Google Chat □ (07) Microsoft Teams □ (08) FaceTime □ (09) Telegram □ (10) Discord □ (11) 抖音(TikTok) □ (12) Dcard □ (13) Threads □ (88)其他,請說明______【開放欄位】 □ (90)都沒有【與選項(01)-(88)互斥】 □ (97)不知道 □ (98"
vK2,K2,match,,14,"1,2,3,4,5,6,7,8,9,11,12,13,88,90,97,98","1,2,3,4,5,6,7,8,9,11,12,13,88,90",,,2,1,88,14,3,"90,97,98",90,13,90,97,98,,,"K2‧除了私下(一對一)聯絡,請問您最近一個月有使用下列哪些網路平台或APP,公開(一對多)和人互動,像是看朋友或其他人的動態、自己PO文、按讚、留言?(可多選)(卡8) 訪員注意: 1.若只是在LINE、FB、IG上看到標註抖音(TikTok)的影片,不算有使用,要有用抖音APP或在網頁版上觀看才算有使用。 2.不論是透過手機、平板或電腦使用社群媒體都算。 □ (01)臉書(Facebook) □ (02)Instagram(IG) □ (03) X (原Twitter,推特) □ (04)LinkedIn □ (05)微博 □ (06)噗浪(Plurk) □ (07)抖音(TikTok) □ (08)Dcard □ (09)PTT(批踢踢實業坊) □ (11)Threads □ (12)"
vKFB3,KFB3,match,,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,88",,,2,1,88,18,2,"97,98",,17,97,98,,,,"KFB3‧請問您使用臉書(Facebook)主要的原因或動機是什麼呢?(可多選)(卡9)【K1答(02)者,或K2答(01)者,才需回答此題】 □ (01)聯絡事情 □ (02)維持與親友之間的關係 □ (03)交新朋友 □ (04)與朋友分享心情 □ (05)與朋友分享生活點滴 □ (06)怕漏掉親友間發生的事情或話題 □ (07)查看一些您有興趣的人(包括認識與不認識都算,例如網紅)的動態資訊 □ (08)接觸有興趣的事物 □ (09)工作(有支薪)或課業所需 □ (10)獲得新資訊 □ (11)學習新事物 □ (12)記錄生活點滴(例如:旅遊、食物、健身等拍照上傳) □ (13)分享時事或發表個人評論展現您個人特色 □ (14)逃避學校或工作(有支薪)的事情 □ (15)打發時間 □ "
vKFB4,KFB4,match,,19,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,88",,,2,1,88,19,2,"97,98",,18,97,98,,,,"KFB4‧請問您平常會在臉書(Facebook)上做哪些事情呢?(可多選)(卡10)【K1答(02)者,或K2答(01)者,才需回答此題】 □ (01)撰寫貼文(包含文字、相片、影片、打卡、網誌、相簿等) □ (02)分享或轉傳貼文(包含文字、相片、影片、打卡、網誌、相簿等) □ (03)開直播 □ (04)在別人貼文底下留言或按讚 □ (05)在社團內留言給其他人或按讚 □ (06)看朋友的貼文(包含文字、相片、影片、打卡、網誌、相簿等) □ (07)看朋友所分享或轉傳的貼文(包含文字、相片、影片、打卡、網誌、相簿等) □ (08)看直播(無論朋友、名人或網紅的直播,內容包括吃美食、打電動、美妝等) □ (09)瀏覽自動推薦的動態或影片 □ (10)瀏覽新聞 □ (11)瀏覽廣告與品牌訊息"
vKIG3,KIG3,match,,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,88",,,2,1,88,18,2,"97,98",,17,97,98,,,,"KIG3‧請問您使用Instagram(IG)主要的原因或動機是什麼呢?(可多選)(卡11)【K1答(03)者,或K2答(02)者,才需回答此題】 □ (01)聯絡事情 □ (02)維持與親友之間的關係 □ (03)交新朋友 □ (04)與朋友分享心情 □ (05)與朋友分享生活點滴 □ (06)怕漏掉親友間發生的事情或話題 □ (07)查看一些您有興趣的人(包括認識與不認識都算,例如網紅)的動態資訊 □ (08)接觸有興趣的事物 □ (09)工作(有支薪)或課業所需 □ (10)獲得新資訊 □ (11)學習新事物 □ (12)記錄生活點滴(例如:旅遊、食物、健身等拍照上傳) □ (13)分享時事或發表個人評論展現您個人特色 □ (14)逃避學校或工作(有支薪)的事情 □ (15)打發時間 "
vKIG4,KIG4,match,,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,88",,,2,1,88,15,2,"97,98",,14,97,98,,,,"KIG4‧請問您平常會在Instagram(IG)上做哪些事情呢?(可多選)(卡12)【K1答(03)者,或K2答(02)者,才需回答此題】 □ (01)撰寫貼文(包含照片、圖片、影片等) □ (02)發佈限時動態(Stories) □ (03)在別人貼文底下留言或按愛心 □ (04)回覆別人的限時動態(Stories) □ (05)看朋友的貼文(包含照片、圖片、影片等) □ (06)看朋友的限時動態(Stories) □ (07)看直播(無論朋友、名人、網紅或追蹤的帳號的直播。內容包括吃美食、打電動、美妝等) □ (08)瀏覽自動推薦的貼文或影片 □ (09)瀏覽廣告與品牌訊息 □ (10)瀏覽圖文(包含梗圖、長輩圖、早安圖等) □ (11)追蹤有興趣的帳號或hashtag(如名人、網紅、"
vKTT3,KTT3,match,,17,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,88",,,2,1,88,17,2,"97,98",,16,97,98,,,,"KTT3‧請問您使用抖音(TikTok)主要的原因或動機是什麼呢?(可多選)(卡13)【K1答(11)者,或K2答(07)者,才需回答此題】 □ (01)維持與親友之間的關係 □ (02)查看一些您有興趣的人(包括認識與不認識都算,例如網紅)的資訊或影片 □ (03)與網紅或影片創作者互動 □ (04)接觸有興趣的事物 □ (05)獲得新資訊 □ (06)學習新事物(如跳舞、唱歌、料理) □ (07)記錄生活點滴(例如:錄影上傳旅遊、食物、健身等內容) □ (08)讓您和別人比較有話題 □ (09)讓您知道現在社會上發生什麼事 □ (10)獲得商品資訊 □ (11)發現現在的流行趨勢 □ (12)經營或管理自己的頻道展現個人特色 □ (13)逃避學校或工作(有支薪)的事情 □ (14)打發時"
vKTT4,KTT4,match,,15,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,13,14,88",,,2,1,88,15,2,"97,98",,14,97,98,,,,"KTT4‧請問您平常會在抖音(TikTok)上做哪些事情呢?(可多選)(卡14)【K1答(11)者,或K2答(07)者,才需回答此題】 □ (01)上傳自己製作的影片 □ (02)在影片當中留言或按愛心 □ (03)看直播時在聊天室和別人(包含直播主與網友)互動 □ (04)看直播(例如:遊戲實況、演唱會等) □ (05)瀏覽自動推薦的影片(例如:沒有主動搜尋,但抖音TikTok會依照您的喜好列出為您推薦的影片,吸引您看更多影片) □ (06)看影片 □ (07)瀏覽熱門影片(例如:抖音TikTok的探索特區中會排序列出近期最熱門的影片) □ (08)看別人在影片當中的留言 □ (09)觀看追蹤頻道或網紅推出的影片 □ (10)關注有興趣的頻道或網紅 □ (11)搜尋感興趣的影片 □ (12"
vKTT5,KTT5,match,,13,"1,2,3,4,5,6,7,8,9,10,11,12,88,97,98","1,2,3,4,5,6,7,8,9,10,11,12,88",,,2,1,88,13,2,"97,98",,12,97,98,,,,"KTT5‧請問您平常會在抖音(TikTok)上看什麼內容?(可多選)(卡15)【K1答(11)者,或K2答(07)者,才需回答此題】 □ (01)趣味、娛樂 □ (02)唱歌、跳舞 □ (03)整人、惡搞 □ (04)健身、運動 □ (05)居家裝修、住宅改造 □ (06)美容、美妝 □ (07)時尚、流行 □ (08)美食、烹飪□ (09)生活妙招、常識或建議 □ (10)寵物 □ (11)戶外活動 □ (12)新聞時事 □ (88)其他,請說明___________ 【開放欄位】 □ (97)不知道 □ (98)拒答"
vK3,K3,match,,11,"1,2,3,4,5,6,7,8,9,88,90,97,98","1,2,3,4,5,6,7,8,9,88,90",,,2,1,88,11,3,"90,97,98",90,10,90,97,98,,,"K3‧請問您最近一個月有沒有使用下列影音平台?(可多選)(卡16) 訪員注意: 1.YouTube必須真的在看或在聽才算有在使用,只是當背景音樂不算。 2.若是在LINE上看到YouTube影片,有點開YouTube網頁或APP才算有使用。 3.不論是透過手機、平板、電腦或智慧電視用影音平台都算。 □ (01)YouTube □ (02)愛奇藝 □ (03)Netflix(網飛) □ (04)LINE TV (已與原KKTV合併) □ (05)LiTV □ (06)Twitch □ (07)Disney+(迪士尼串流平台) □ (08)巴哈姆特動畫瘋 □ (09) Bilibili嗶哩嗶哩 □ (88)其他,請說明______ 【開放欄位】 □ (90)都沒有【與選項(01)-(88)互斥】"
